name,station,score,review,address,latitude,longitude
이도림 블로트커피X베이크,서촌,4.8,500,서울 종로구 자하문로 43 1층,37.5799361,126.971078
eert 경복궁점,서촌,3.2,20,서울 종로구 사직로 127 1~3층,37.5760499,126.9730692
온그라운드 지상소,서촌,3.2,260,서울 종로구 자하문로10길 23 1층,37.5795215,126.9727876
포비브라이트 광화문점,서촌,4.1,306,서울 종로구 새문안로 76 콘코디언빌딩 1층,37.5697569,126.973165
커피스트,서촌,4.3,225,서울 종로구 경희궁길 39 1층,37.5727926,126.9694194
헤르만의정원,서촌,3.8,276,서울 종로구 자하문로7길 62,37.5800487,126.969333
커피원,서촌,4.5,391,서울 종로구 새문안로3길 12 신문로빌딩 지하 1층,37.5713397,126.9729421
mk2,서촌,3.4,401,서울 종로구 자하문로10길 17,37.5795086,126.9725167
통인스윗,서촌,3.6,254,서울 종로구 자하문로7길 50,37.5796417,126.9696363
카페 포르트,서촌,4.1,14,서울 종로구 자하문로10길 7 1층,37.5796218,126.9719007
스타벅스 경복궁역점,서촌,3.7,85,서울 종로구 자하문로4길 6 1층,37.5771847,126.9726176
세이지핀치,서촌,4.3,378,서울 종로구 필운대로1길 8 1층,37.5774729,126.9689587
오쁘띠베르,서촌,4.1,358,서울 종로구 자하문로 47-1,37.5802623,126.9709947
베어카페,서촌,3.7,267,서울 종로구 자하문로24길 24,37.5829054,126.9711115
라파리나,서촌,4.1,1598,서울 종로구 자하문로 44 청민 1층,37.5799725,126.9715532
블루보틀 삼청 카페,서촌,3.5,859,서울 종로구 북촌로5길 76 1~3층,37.5800995,126.9808429
스타벅스 정부서울청사R점,서촌,4.2,83,서울 종로구 새문안로5가길 28 광화문플래티넘 1층,37.5744107,126.9735709
사직동그가게,서촌,4.4,197,서울 종로구 사직로9길 18,37.577135,126.9678265
리제로 서울,서촌,3.3,192,서울 종로구 경희궁3길 3-5 3층,37.5729392,126.9680715
뉴라인건축사사무소,서촌,4.6,45,"서울 종로구 필운대로 35 1, 2층",37.5791238,126.968652
플랫커피,서촌,3.5,87,서울 종로구 자하문로 14-1 1~3층,37.5774917,126.9724111
에디션덴마크,서촌,4.6,51,서울 종로구 자하문로9길 24 1층,37.579581,126.9697597
베란다,서촌,4.5,697,서울 종로구 사직로10길 9-4,37.5754089,126.9705526
일일호일,서촌,4.8,60,서울 종로구 자하문로 52,37.5806424,126.9714224
스타벅스 스페이스본점,서촌,3.4,29,"서울 종로구 사직로8길 4 201동 109,110호",37.5744169,126.9688811
어니언 안국,서촌,3.5,1207,서울 종로구 계동길 5,37.5776235,126.9865541
스모어마켓 픽사하우스,서촌,4.3,359,"서울 종로구 율곡로3길 74-3 1,2층",37.5790204,126.982394
놋그릇가지런히,서촌,4.2,55,서울 종로구 자하문로13길 3,37.5799691,126.9709288
커피한잔,서촌,4.6,219,서울 종로구 사직로9길 16-1 1충,37.5770494,126.9679025
스펙터,서촌,,325,서울 종로구 필운대로6길 23-1 1층,37.5802671,126.9696713
널담은공간,서촌,3.5,858,서울 종로구 삼청로 24 1층,37.5780502,126.9798327
미라보쇼콜라,서촌,4.6,172,서울 종로구 자하문로5길 6 1층,37.577794,126.9714176
통인스윗카페,서촌,3.7,180,서울 종로구 자하문로7길 10,37.5783821,126.971187
사라브(SARAB),서촌,4.8,56,서울 종로구 필운대로1길 16-1 1층,37.5777697,126.9685284
팀홀튼 광화문 케이트윈타워점,서촌,3.6,51,서울 종로구 종로1길 50 B동 1층,37.5747575,126.9792977
스타벅스 광화문점,서촌,3.4,213,서울 종로구 세종대로 167 현대해상본사사옥 별관내,37.570934,126.9761231
여기인가,서촌,4.1,121,서울 종로구 자하문로7길 24-4 1층,37.5788409,126.9709066
호아드카페&갤러리,서촌,3.5,152,서울 종로구 율곡로1길 54-3,37.5781949,126.9811224
서울서둘째로잘하는집,서촌,4.1,412,서울 종로구 삼청로 122-1,37.5862441,126.9818509
종로살롱,서촌,3.9,185,서울 종로구 자하문로2길 20,37.5763648,126.9737909
