name,category,region,score,review,value,price,address,latitude,longitude
강남면옥 성수점,냉면,뚝섬역,3.0,333,17.433422978930103,60250,"서울 성동구 성수일로 77 1층 110,111호 (우)04790",37.547478,127.0498957
케슬리 성수본점,샌드위치,뚝섬역,4.6,12,11.798767044323068,5875,서울 성동구 상원6길 3 1층 (우)04790,37.54854479999999,127.048593
파머스카페,카페,뚝섬역,4.1,1047,28.514019346012045,5625,서울 성동구 왕십리로6길 11 1층 (우)04778,37.5460053,127.0460921
밀본,칼국수,뚝섬역,3.1,89,13.949409978023821,10250,서울 성동구 아차산로 67-16 KIMG빌딩 1층 (우)04793,37.546444,127.0513611
이태리차차,이탈리안,뚝섬역,3.7,185,19.335262692738848,24500,서울 성동구 연무장길 14-5 1층 (우)04781,37.5434963,127.051029
유가츠,"돈까스,우동",뚝섬역,4.0,309,22.94628918991677,12000,서울 성동구 서울숲4길 12-7 지하1층 (우)04768,37.5472618,127.0423072
정선부뚜막,한식,뚝섬역,3.5,191,18.401233802097234,10000,서울 성동구 서울숲6길 14 1층 (우)04768,37.5475077,127.0430577
오후,퓨전일식,뚝섬역,3.6,729,23.734960322912773,14250,서울 성동구 서울숲2길 44-7 1층 (우)04768,37.5461754,127.0433804
이월로스터스 성수점,카페,뚝섬역,4.1,117,19.559806960309224,5250,서울 성동구 서울숲2길 46 (우)04768,37.5471785,127.0421007
평이담백뼈칼국수 성수점,칼국수,뚝섬역,3.4,630,21.920839932640124,17000,"서울 성동구 상원10길 10 지하1층, 1층 (우)04790",37.5493504,127.0490622
쎈느,카페,뚝섬역,3.8,182,19.7960473807974,6325,"서울 성동구 연무장5길 20 1,2층 (우)04782",37.5448471,127.0534209
소바마에,일식,뚝섬역,3.8,289,21.545547507325974,13550,서울 성동구 왕십리로4길 26-20 지하1층 (우)04778,37.5468041,127.0470079
성수동대림창고갤러리,갤러리카페,뚝섬역,3.1,1294,22.215424519814277,7500,서울 성동구 성수이로 78 1층 (우)04784,37.5418384,127.0564636
고집132 성수본점,삼겹살,뚝섬역,4.6,447,28.082048869108927,22000,서울 성동구 왕십리로8길 5 대영빌딩1층 (우)04778,37.5465226,127.045351
파르코,피자,뚝섬역,3.9,460,23.920252367686928,18425,서울 성동구 서울숲2길 44 1층 (우)04768,37.5462414,127.0435723
춘천닭갈비,닭요리,뚝섬역,4.8,42,18.0537605553291,10333,서울 성동구 왕십리로8길 8 1층 (우)04778,37.546324,127.0456226
<<<<<<< Updated upstream
자연도소금빵 in성수,"제과,베이커리",뚝섬역,3.4,2434,26.512186920756747,12000,서울 성동구 연무장길 56-1 1층 (우)04781,37.5423017,127.0554582
비엔나커피하우스 서울숲역점,카페,뚝섬역,3.6,56,14.554984564204382,5000,서울 성동구 왕십리로 66 1층 (우)04778,37.5434613,127.0450286
스트로베리32 성수점,"제과,베이커리",뚝섬역,4.5,488,27.865631202636926,36250,서울 성동구 왕십리로10길 9-31 3층 (우)04778,37.5468258,127.0462873
=======
